URL,关闭时间,创建时间,创建者,序号,更新时间,标签,标签数,标题,正文长度,正文预览,状态,类型,编号,获取时间,评论数,页码
https://github.com/microsoft/vscode/pull/290366,,2026-01-26T11:24:33Z,Tyriar,1,2026-01-26T11:34:40Z,,0,Implement await terminal tool,368,"Fixes #288565

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guid...",open,Issue,290366,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290364,,2026-01-26T11:13:49Z,bpasero,2,2026-01-26T11:51:59Z,,0,agent sessions - card visual updates to reduce clutter,344,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://...",open,Issue,290364,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290320,,2026-01-26T05:50:43Z,Copilot,3,2026-01-26T06:08:48Z,,0,Add includeTools and excludeTools options to workbench.action.chat.open,1573,Adds two mutually exclusive options to `IChatViewOpenOptions` for controlling tool enablement when o...,open,Issue,290320,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290298,,2026-01-25T22:43:40Z,matt-sorenson,4,2026-01-26T06:47:58Z,triage-needed,1,Mark variables in zsh integration functions as local,656,"I run zsh with `setopt warn_create_global` and got annoyed at the warnings.

I moved this updated ...",open,Issue,290298,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290279,,2026-01-25T18:52:19Z,bodhisilberling,5,2026-01-25T21:03:45Z,,0,"Fix spelling mistakes: accomodate -> accommodate, occured -> occurred",541,"- Fix 'accomodate' -> 'accommodate' in 6 files (comments)
- Fix 'occured' -> 'occurred' in parcelWa...",open,Issue,290279,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290278,,2026-01-25T18:42:59Z,n-gist,6,2026-01-25T19:07:33Z,,0,fix languages.getDiagnostics() problem-matchers diagnostics duplication,3994,"Fixes #256118

###### ISSUE
When opening files after starting a task which outputs diagnostic ent...",open,Issue,290278,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290258,,2026-01-25T14:30:46Z,jhhtaylor,7,2026-01-25T15:08:17Z,,0,media-preview: attempt to handle untitled scheme for Safari/Firefox (fix #236152),1512,"## Summary

This PR attempts to fix audio/video preview for files opened via Safari's ""Open Files......",open,Issue,290258,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290253,,2026-01-25T13:13:45Z,nose2002kr,8,2026-01-25T16:56:21Z,,0,Expose the `StatusBarEntryLocation` parameter in the `createStatusBar…,640,"…Item` function

I am submitting a pull request to extend the function arguments in the createStat...",open,Issue,290253,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290252,,2026-01-25T12:47:32Z,gmlwlsdl,9,2026-01-25T12:52:38Z,,0,Fix title toolbar right side ignoring mouse events (#290170),792,"Fixes #290170

**Bug Analysis**
The `titlebar-drag-region` was positioned absolutely and covered ...",open,Issue,290252,2026-01-26T20:07:51.164906,0,1
https://github.com/microsoft/vscode/pull/290216,,2026-01-25T05:13:41Z,justschen,10,2026-01-26T06:57:43Z,,0,animations for reasoning and tool calls inside reasoning,442,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https:...",open,Issue,290216,2026-01-26T20:07:51.164906,0,1
