URL,发布日期,发布者,发布说明长度,发布说明预览,序号,总下载量,版本号,版本名称,草稿,获取时间,资产数量,页码,预发布
https://github.com/microsoft/vscode/releases/tag/1.108.2,2026-01-23T21:43:44Z,lramos15,304,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22December+2025...,1,0,1.108.2,December 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.108.1,2026-01-16T14:28:23Z,lramos15,304,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22December+2025...,2,0,1.108.1,December 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.108.0,2026-01-08T20:52:00Z,lramos15,565,"Welcome to the December 2025 release of Visual Studio Code.

![December 2025 Release Image](https://code.visualstudio....",3,0,1.108.0,December 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.107.1,2025-12-17T22:27:10Z,lramos15,304,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2025...,4,0,1.107.1,November 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.107.0,2025-12-10T18:28:37Z,lramos15,780,Welcome to the November 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll l...,5,0,1.107.0,November 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.106.3,2025-11-26T12:20:27Z,chrmarti,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2025+...,6,0,1.106.3,October 2025 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.106.2,2025-11-19T19:55:15Z,mjbvz,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2025+...,7,0,1.106.2,October 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.106.1,2025-11-17T21:19:16Z,chrmarti,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2025+...,8,0,1.106.1,October 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.106.0,2025-11-12T18:16:34Z,mjbvz,1322,Welcome to the October 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll li...,9,0,1.106.0,October 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.105.1,2025-10-15T20:58:44Z,mjbvz,305,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22September+202...,10,0,1.105.1,September 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
