主页,头像URL,序号,用户ID,用户名,管理员,类型,获取时间,贡献次数,页码
https://github.com/bpasero,https://avatars.githubusercontent.com/u/900690?v=4,1,900690,bpasero,True,User,2026-02-04T11:32:29.282148,14386,1
https://github.com/jrieken,https://avatars.githubusercontent.com/u/1794099?v=4,2,1794099,jrieken,True,User,2026-02-04T11:32:29.282185,12448,1
https://github.com/Tyriar,https://avatars.githubusercontent.com/u/2193314?v=4,3,2193314,Tyriar,True,User,2026-02-04T11:32:29.282195,12444,1
https://github.com/mjbvz,https://avatars.githubusercontent.com/u/12821956?v=4,4,12821956,mjbvz,True,User,2026-02-04T11:32:29.282202,9738,1
https://github.com/joaomoreno,https://avatars.githubusercontent.com/u/22350?v=4,5,22350,joaomoreno,True,User,2026-02-04T11:32:29.282208,8738,1
https://github.com/sandy081,https://avatars.githubusercontent.com/u/10746682?v=4,6,10746682,sandy081,True,User,2026-02-04T11:32:29.282214,8526,1
https://github.com/alexdima,https://avatars.githubusercontent.com/u/5047891?v=4,7,5047891,alexdima,True,User,2026-02-04T11:32:29.282221,7700,1
https://github.com/isidorn,https://avatars.githubusercontent.com/u/1926584?v=4,8,1926584,isidorn,True,User,2026-02-04T11:32:29.282227,6086,1
https://github.com/roblourens,https://avatars.githubusercontent.com/u/323878?v=4,9,323878,roblourens,True,User,2026-02-04T11:32:29.282234,5499,1
https://github.com/aeschli,https://avatars.githubusercontent.com/u/6461412?v=4,10,6461412,aeschli,True,User,2026-02-04T11:32:29.282240,5029,1
https://github.com/rebornix,https://avatars.githubusercontent.com/u/876920?v=4,11,876920,rebornix,True,User,2026-02-04T11:32:29.282246,4948,1
https://github.com/meganrogge,https://avatars.githubusercontent.com/u/29464607?v=4,12,29464607,meganrogge,True,User,2026-02-04T11:32:29.282252,4540,1
https://github.com/alexr00,https://avatars.githubusercontent.com/u/38270282?v=4,13,38270282,alexr00,True,User,2026-02-04T11:32:29.282258,2678,1
https://github.com/connor4312,https://avatars.githubusercontent.com/u/2230985?v=4,14,2230985,connor4312,True,User,2026-02-04T11:32:29.282263,2560,1
https://github.com/hediet,https://avatars.githubusercontent.com/u/2931520?v=4,15,2931520,hediet,True,User,2026-02-04T11:32:29.282269,2336,1
https://github.com/lszomoru,https://avatars.githubusercontent.com/u/3372902?v=4,16,3372902,lszomoru,True,User,2026-02-04T11:32:29.282274,2107,1
https://github.com/sbatten,https://avatars.githubusercontent.com/u/6561887?v=4,17,6561887,sbatten,True,User,2026-02-04T11:32:29.282280,1636,1
https://github.com/aiday-mar,https://avatars.githubusercontent.com/u/61460952?v=4,18,61460952,aiday-mar,False,User,2026-02-04T11:32:29.282286,1552,1
https://github.com/chrmarti,https://avatars.githubusercontent.com/u/9205389?v=4,19,9205389,chrmarti,True,User,2026-02-04T11:32:29.282291,1201,1
https://github.com/TylerLeonhardt,https://avatars.githubusercontent.com/u/2644648?v=4,20,2644648,TylerLeonhardt,True,User,2026-02-04T11:32:29.282297,1190,1
https://github.com/weinand,https://avatars.githubusercontent.com/u/1898161?v=4,21,1898161,weinand,False,User,2026-02-04T11:32:29.282302,1164,1
https://github.com/benibenj,https://avatars.githubusercontent.com/u/44439583?v=4,22,44439583,benibenj,True,User,2026-02-04T11:32:29.282306,1126,1
https://github.com/lramos15,https://avatars.githubusercontent.com/u/4544166?v=4,23,4544166,lramos15,True,User,2026-02-04T11:32:29.282309,997,1
https://github.com/dbaeumer,https://avatars.githubusercontent.com/u/1931590?v=4,24,1931590,dbaeumer,True,User,2026-02-04T11:32:29.282312,993,1
https://github.com/joyceerhl,https://avatars.githubusercontent.com/u/30305945?v=4,25,30305945,joyceerhl,False,User,2026-02-04T11:32:29.282316,899,1
https://github.com/amunger,https://avatars.githubusercontent.com/u/2019016?v=4,26,2019016,amunger,False,User,2026-02-04T11:32:29.282320,857,1
https://github.com/rzhao271,https://avatars.githubusercontent.com/u/7199958?v=4,27,7199958,rzhao271,True,User,2026-02-04T11:32:29.282323,826,1
https://github.com/ramya-rao-a,https://avatars.githubusercontent.com/u/16890566?v=4,28,16890566,ramya-rao-a,False,User,2026-02-04T11:32:29.282328,758,1
https://github.com/deepak1556,https://avatars.githubusercontent.com/u/964386?v=4,29,964386,deepak1556,False,User,2026-02-04T11:32:29.282331,689,1
https://github.com/legomushroom,https://avatars.githubusercontent.com/u/1478800?v=4,30,1478800,legomushroom,True,User,2026-02-04T11:32:29.282335,658,1
https://github.com/octref,https://avatars.githubusercontent.com/u/4033249?v=4,31,4033249,octref,False,User,2026-02-04T11:32:29.282338,657,1
https://github.com/apps/copilot-swe-agent,https://avatars.githubusercontent.com/in/1143301?v=4,32,198982749,Copilot,False,Bot,2026-02-04T11:32:29.282341,563,1
https://github.com/justschen,https://avatars.githubusercontent.com/u/54879025?v=4,33,54879025,justschen,True,User,2026-02-04T11:32:29.282345,527,1
https://github.com/DonJayamanne,https://avatars.githubusercontent.com/u/1948812?v=4,34,1948812,DonJayamanne,True,User,2026-02-04T11:32:29.282348,466,1
https://github.com/daviddossett,https://avatars.githubusercontent.com/u/25163139?v=4,35,25163139,daviddossett,True,User,2026-02-04T11:32:29.282351,451,1
https://github.com/dmitrivMS,https://avatars.githubusercontent.com/u/9581278?v=4,36,9581278,dmitrivMS,True,User,2026-02-04T11:32:29.282354,432,1
https://github.com/bhavyaus,https://avatars.githubusercontent.com/u/25044782?v=4,37,25044782,bhavyaus,True,User,2026-02-04T11:32:29.282358,427,1
https://github.com/osortega,https://avatars.githubusercontent.com/u/48293249?v=4,38,48293249,osortega,True,User,2026-02-04T11:32:29.282361,426,1
https://github.com/andreamah,https://avatars.githubusercontent.com/u/31675041?v=4,39,31675041,andreamah,True,User,2026-02-04T11:32:29.282365,359,1
https://github.com/mrleemurray,https://avatars.githubusercontent.com/u/25487940?v=4,40,25487940,mrleemurray,False,User,2026-02-04T11:32:29.282368,334,1
https://github.com/kieferrm,https://avatars.githubusercontent.com/u/4674940?v=4,41,4674940,kieferrm,True,User,2026-02-04T11:32:29.282371,316,1
https://github.com/michelkaporin,https://avatars.githubusercontent.com/u/2239563?v=4,42,2239563,michelkaporin,False,User,2026-02-04T11:32:29.282375,311,1
https://github.com/dstorey,https://avatars.githubusercontent.com/u/465069?v=4,43,465069,dstorey,False,User,2026-02-04T11:32:29.282378,310,1
https://github.com/joshspicer,https://avatars.githubusercontent.com/u/23246594?v=4,44,23246594,joshspicer,True,User,2026-02-04T11:32:29.282381,305,1
https://github.com/jeanp413,https://avatars.githubusercontent.com/u/25115070?v=4,45,25115070,jeanp413,False,User,2026-02-04T11:32:29.282385,303,1
https://github.com/ulugbekna,https://avatars.githubusercontent.com/u/16353531?v=4,46,16353531,ulugbekna,True,User,2026-02-04T11:32:29.282389,287,1
https://github.com/egamma,https://avatars.githubusercontent.com/u/172399?v=4,47,172399,egamma,True,User,2026-02-04T11:32:29.282392,266,1
https://github.com/gjsjohnmurray,https://avatars.githubusercontent.com/u/6726799?v=4,48,6726799,gjsjohnmurray,False,User,2026-02-04T11:32:29.282395,243,1
https://github.com/Yoyokrazy,https://avatars.githubusercontent.com/u/12552271?v=4,49,12552271,Yoyokrazy,True,User,2026-02-04T11:32:29.282399,203,1
https://github.com/digitarald,https://avatars.githubusercontent.com/u/8599?v=4,50,8599,digitarald,True,User,2026-02-04T11:32:29.282402,199,1
