URL,关闭时间,创建时间,创建者,序号,更新时间,标签,标签数,标题,正文长度,正文预览,状态,类型,编号,获取时间,评论数,页码
https://github.com/microsoft/vscode/issues/292758,,2026-02-04T03:29:57Z,dxducky,1,2026-02-04T03:31:27Z,"info-needed, triage-needed",2,Enable copilot in remote not having internet connection.,471,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,292758,2026-02-04T11:32:45.557348,1,1
https://github.com/microsoft/vscode/issues/292756,,2026-02-04T03:12:13Z,roblourens,2,2026-02-04T03:12:13Z,,0,"Remove ""You may not need to search or read the file again"" prompt from background agents",816,"Hey @DonJayamanne, in https://github.com/microsoft/vscode-copilot-chat/pull/3427 I removed this old ...",open,Issue,292756,2026-02-04T11:32:45.557389,0,1
https://github.com/microsoft/vscode/issues/292755,,2026-02-04T03:10:05Z,guruarer-max,3,2026-02-04T03:11:40Z,"info-needed, triage-needed",2,agent wont follow the instruction,2209,"
Type: <b>Bug</b>

even a small trivial request to change of the size of the icons is getting failed...",open,Issue,292755,2026-02-04T11:32:45.557402,1,1
https://github.com/microsoft/vscode/issues/292754,,2026-02-04T03:03:19Z,garretwilson,4,2026-02-04T03:04:43Z,,0,GitHub Copilot refuses to use VS Code search tools for multi-root workspaces,4847,GitHub Copilot refuses to use its search functionality to look for files in another root of a multi-...,open,Issue,292754,2026-02-04T11:32:45.557412,0,1
https://github.com/microsoft/vscode/issues/292750,,2026-02-04T02:19:18Z,123456987789,5,2026-02-04T02:20:26Z,,0,Copilot Agent tools fail due to path separator mismatch in Remote-SSH (Windows Client to Linux Host),10292,"
Type: <b>Bug</b>

Observed Behavior:
When using Copilot Chat in a Remote-SSH workspace (Windows cli...",open,Issue,292750,2026-02-04T11:32:45.557420,0,1
https://github.com/microsoft/vscode/issues/292748,,2026-02-04T02:12:17Z,garretwilson,6,2026-02-04T03:04:10Z,,0,GitHub Copilot Chat incorrectly converts text patterns to `_vscodecontentref_` links,990,"**Description:** (LLM generated based upon the discussion)

VS Code's Copilot Chat is converting cer...",open,Issue,292748,2026-02-04T11:32:45.557428,1,1
https://github.com/microsoft/vscode/issues/292747,,2026-02-04T02:11:49Z,mvrius,7,2026-02-04T02:12:50Z,,0,Stuck at Activating MCP Extensions,1651,"
Type: <b>Bug</b>

Keeps getting stuck at ""Activating MCP Extensions"".

It would be great if such lo...",open,Issue,292747,2026-02-04T11:32:45.557437,1,1
https://github.com/microsoft/vscode/issues/292745,,2026-02-04T01:43:27Z,sdshan99-star,8,2026-02-04T01:44:43Z,"info-needed, triage-needed",2,Thinking never stopped,2137,"
Type: <b>Bug</b>

This has happened more than 10 ten time in the past month.
my prompts are getting...",open,Issue,292745,2026-02-04T11:32:45.557446,1,1
https://github.com/microsoft/vscode/issues/292744,,2026-02-04T01:32:30Z,anabisX,9,2026-02-04T01:37:10Z,,0,Allow renaming of Claude sessions in Copilot Chat.,782,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduc...",open,Issue,292744,2026-02-04T11:32:45.557454,0,1
https://github.com/microsoft/vscode/issues/292741,,2026-02-04T01:01:32Z,GamerTuruu,10,2026-02-04T01:02:34Z,,0,Add 'Revert All Changes' button at top of Copilot Chat,1448,"
Type: <b>Feature Request</b>

When using Copilot Chat in VS Code to make code changes, there are ch...",open,Issue,292741,2026-02-04T11:32:45.557462,0,1
